Squad,sezoni,PC1,PC2,PC3
Athletic Club,2023-2024,1.8477354843426133,0.6719894104522884,0.22122073736139553
Real Sociedad,2023-2024,1.3579180455511073,0.7107812577666586,-1.1937274758262983
Real Betis,2023-2024,0.9429632441309512,0.715621407790491,0.6833003383979259
Villarreal,2023-2024,0.27953943381587637,-0.5397082932287282,0.5935901422095508
Valencia,2023-2024,-0.6615962238736794,0.9079144374180336,-2.674348189605107
Alaves,2023-2024,-0.9467911465789512,0.7715993008654557,-1.1460397386431165
Osasuna,2023-2024,-1.095268868309926,-0.6194222407203525,0.8571416279315817
Getafe,2023-2024,-1.5208951453386914,0.3272029610330307,-0.06835159318489087
Celta Vigo,2023-2024,-0.6098660903085069,-0.7093333358498742,0.10515767035847108
Sevilla,2023-2024,-0.296847336151652,-0.1623693697290095,1.355555865626712
Mallorca,2023-2024,-1.4708025119637957,1.2666567873337395,1.3577298371939475
Las Palmas,2023-2024,-0.9955975317692736,0.22363111457907195,-1.0513766998853353
Rayo Vallecano,2023-2024,-1.2768266680514841,-0.04995823178366134,2.193615298383605
Cadiz,2023-2024,-2.8587758158826118,0.6469231112944686,1.2736542625678802
Almeria,2023-2024,-2.4846998132824223,-2.2130183161280517,-0.8457177538089506
Granada,2023-2024,-3.6301850789363357,-1.6611501156945363,-0.01946129576286322
Barcelona,2024-2025,6.7890239295294625,-2.9655588174827923,-1.599965879464148
Real Madrid,2024-2025,5.432184048819904,-1.3571466641199157,-0.004867090891058333
Atletico Madrid,2024-2025,3.492414177189545,1.5231509371006775,1.045024146630032
Athletic Club,2024-2025,2.1991759520303926,1.607177489485857,-0.07747991808823859
Villarreal,2024-2025,1.8788728086682336,-0.32884035299203473,-0.36503137330195956
Real Betis,2024-2025,1.4445134482851967,-1.0467734458588724,0.7121976073335259
Celta Vigo,2024-2025,0.2553541090024238,-1.650735081361914,0.06460288657920724
Rayo Vallecano,2024-2025,0.3795037972445072,0.4491463736203793,2.0535452129133858
Osasuna,2024-2025,-0.41648296738004664,1.0951365004712368,0.22786631533603477
Mallorca,2024-2025,-1.0056136505092532,1.7505230352502972,1.4451746210212866
Real Sociedad,2024-2025,-0.5527293934254314,0.3463083221268346,-1.5829678821664848
Valencia,2024-2025,-1.2569181670094,-0.2381429001138399,-2.0046223566532233
Getafe,2024-2025,-1.2813778401191689,1.8375514617209832,0.36320504245768004
Espanyol,2024-2025,-2.0519583293278294,1.5268525753921949,-1.7136205688844561
Alaves,2024-2025,-1.6507228695862015,0.8647486570125237,-0.5023722526635468
Girona,2024-2025,-0.9917417788277172,-1.102681509653106,0.7634053542469049
Sevilla,2024-2025,-1.0245404919466439,-1.0338244526392357,-0.5976195727512369
Leganes,2024-2025,-2.2573832062335093,0.9514396282277963,0.7086381291798383
Las Palmas,2024-2025,-2.1771262671240863,-0.5318905703631422,-0.24644028387610317
Valladolid,2024-2025,-5.420531659914827,-2.091064185847869,-0.8503885420550964
